-8.1076673e-01 0 -1.0000000e+00 #Y^,t,Y
-8.5764254e-01 1 -1.0000000e+00 #Y^,t,Y
-9.3503271e-01 2 -1.0000000e+00 #Y^,t,Y
-9.7599018e-01 3 -1.0000000e+00 #Y^,t,Y
-8.2287390e-01 4 -1.0000000e+00 #Y^,t,Y
-5.4527463e-01 5 -1.0000000e+00 #Y^,t,Y
-8.0340146e-02 6 -1.0000000e+00 #Y^,t,Y
-6.3642570e-01 7 -1.0000000e+00 #Y^,t,Y
-5.6615066e-01 8 -1.0000000e+00 #Y^,t,Y
-1.0000000e+00 9 -1.0000000e+00 #Y^,t,Y
-6.0930095e-01 10 -1.0000000e+00 #Y^,t,Y
-6.8963913e-01 11 -1.0000000e+00 #Y^,t,Y
-9.8866590e-01 12 -1.0000000e+00 #Y^,t,Y
-5.4532746e-01 13 -1.0000000e+00 #Y^,t,Y
-4.4594960e-01 14 -1.0000000e+00 #Y^,t,Y
-7.2990976e-01 15 -1.0000000e+00 #Y^,t,Y
-9.7647723e-01 16 -1.0000000e+00 #Y^,t,Y
-6.5828147e-01 17 -1.0000000e+00 #Y^,t,Y
-4.6127021e-01 18 -1.0000000e+00 #Y^,t,Y
-2.0825810e-01 19 -1.0000000e+00 #Y^,t,Y
-8.6003961e-01 20 -1.0000000e+00 #Y^,t,Y
-5.5668380e-01 21 -1.0000000e+00 #Y^,t,Y
7.0451418e-03 22 -1.0000000e+00 #Y^,t,Y
-7.4603334e-01 23 -1.0000000e+00 #Y^,t,Y
-2.3282388e-01 24 -1.0000000e+00 #Y^,t,Y
4.8937142e-02 25 -1.0000000e+00 #Y^,t,Y
-3.4653615e-01 26 -1.0000000e+00 #Y^,t,Y
-5.0825094e-01 27 -1.0000000e+00 #Y^,t,Y
-2.1661837e-01 28 -1.0000000e+00 #Y^,t,Y
-9.9844019e-01 29 -1.0000000e+00 #Y^,t,Y
-9.9525041e-01 30 -1.0000000e+00 #Y^,t,Y
-3.5648831e-01 31 -1.0000000e+00 #Y^,t,Y
-1.9688568e-01 32 -1.0000000e+00 #Y^,t,Y
-8.4565714e-01 33 -1.0000000e+00 #Y^,t,Y
-9.5220354e-01 34 -1.0000000e+00 #Y^,t,Y
2.1884343e-01 35 -1.0000000e+00 #Y^,t,Y
-2.3086917e-01 36 -1.0000000e+00 #Y^,t,Y
-8.7135865e-01 37 -1.0000000e+00 #Y^,t,Y
-2.3218037e-01 38 -1.0000000e+00 #Y^,t,Y
-9.3236301e-01 39 -1.0000000e+00 #Y^,t,Y
-8.6818531e-01 40 -1.0000000e+00 #Y^,t,Y
-7.6636838e-01 41 -1.0000000e+00 #Y^,t,Y
-3.3827421e-01 42 -1.0000000e+00 #Y^,t,Y
-8.4812498e-01 43 -1.0000000e+00 #Y^,t,Y
-6.9908021e-01 44 -1.0000000e+00 #Y^,t,Y
-4.2514872e-01 45 -1.0000000e+00 #Y^,t,Y
-9.7063732e-01 46 -1.0000000e+00 #Y^,t,Y
-6.9896785e-01 47 -1.0000000e+00 #Y^,t,Y
-4.4449197e-01 48 -1.0000000e+00 #Y^,t,Y
1.3004696e-01 49 -1.0000000e+00 #Y^,t,Y
-9.9855672e-01 50 -1.0000000e+00 #Y^,t,Y
-7.6121708e-01 51 -1.0000000e+00 #Y^,t,Y
-1.4276706e-01 52 -1.0000000e+00 #Y^,t,Y
-1.9917269e-01 53 -1.0000000e+00 #Y^,t,Y
3.8013750e-01 54 -1.0000000e+00 #Y^,t,Y
-6.8751853e-01 55 -1.0000000e+00 #Y^,t,Y
-1.0520900e-01 56 -1.0000000e+00 #Y^,t,Y
-8.1545192e-01 57 -1.0000000e+00 #Y^,t,Y
-7.7828992e-01 58 -1.0000000e+00 #Y^,t,Y
1.0713684e-01 59 -1.0000000e+00 #Y^,t,Y
-8.6852606e-01 60 -1.0000000e+00 #Y^,t,Y
-5.7348417e-01 61 -1.0000000e+00 #Y^,t,Y
-6.7698865e-01 62 -1.0000000e+00 #Y^,t,Y
-3.9944688e-01 63 -1.0000000e+00 #Y^,t,Y
-2.8334765e-01 64 -1.0000000e+00 #Y^,t,Y
-9.1620367e-01 65 -1.0000000e+00 #Y^,t,Y
-6.3431677e-02 66 -1.0000000e+00 #Y^,t,Y
-7.5736276e-01 67 -1.0000000e+00 #Y^,t,Y
-7.8536281e-01 68 -1.0000000e+00 #Y^,t,Y
-7.4147521e-01 69 -1.0000000e+00 #Y^,t,Y
-6.1380626e-01 70 -1.0000000e+00 #Y^,t,Y
-8.6894603e-01 71 -1.0000000e+00 #Y^,t,Y
-6.9028712e-01 72 -1.0000000e+00 #Y^,t,Y
-3.3458229e-01 73 -1.0000000e+00 #Y^,t,Y
-7.4122069e-01 74 -1.0000000e+00 #Y^,t,Y
-9.0445289e-01 75 -1.0000000e+00 #Y^,t,Y
-8.9112463e-01 76 -1.0000000e+00 #Y^,t,Y
-3.8699456e-01 77 -1.0000000e+00 #Y^,t,Y
-3.1688388e-01 78 -1.0000000e+00 #Y^,t,Y
1.3148492e-01 79 -1.0000000e+00 #Y^,t,Y
-8.9115512e-01 80 -1.0000000e+00 #Y^,t,Y
-4.3145999e-01 81 -1.0000000e+00 #Y^,t,Y
-7.7990412e-01 82 -1.0000000e+00 #Y^,t,Y
2.9524708e-01 83 -1.0000000e+00 #Y^,t,Y
-5.1826420e-01 84 -1.0000000e+00 #Y^,t,Y
-4.2629433e-01 85 -1.0000000e+00 #Y^,t,Y
-6.0336596e-01 86 -1.0000000e+00 #Y^,t,Y
2.6620096e-01 87 -1.0000000e+00 #Y^,t,Y
-6.3067300e-01 88 -1.0000000e+00 #Y^,t,Y
-4.7562499e-01 89 -1.0000000e+00 #Y^,t,Y
2.2346162e-01 90 1.0000000e+00 #Y^,t,Y
-6.2802778e-01 91 1.0000000e+00 #Y^,t,Y
3.2978102e-01 92 1.0000000e+00 #Y^,t,Y
-6.1180678e-01 93 1.0000000e+00 #Y^,t,Y
-2.9295065e-01 94 1.0000000e+00 #Y^,t,Y
1.7172417e-01 95 1.0000000e+00 #Y^,t,Y
-5.8552394e-01 96 1.0000000e+00 #Y^,t,Y
7.4248523e-01 97 1.0000000e+00 #Y^,t,Y
-6.0796603e-01 98 1.0000000e+00 #Y^,t,Y
-6.3232230e-01 99 1.0000000e+00 #Y^,t,Y
5.0089818e-01 100 1.0000000e+00 #Y^,t,Y
-7.8981020e-01 101 1.0000000e+00 #Y^,t,Y
5.2147293e-01 102 1.0000000e+00 #Y^,t,Y
-5.2984400e-01 103 1.0000000e+00 #Y^,t,Y
-2.2587286e-02 104 1.0000000e+00 #Y^,t,Y
-4.3029408e-01 105 1.0000000e+00 #Y^,t,Y
-1.6186852e-01 106 1.0000000e+00 #Y^,t,Y
-6.1385737e-01 107 1.0000000e+00 #Y^,t,Y
-8.8209845e-01 108 1.0000000e+00 #Y^,t,Y
4.1804168e-01 109 1.0000000e+00 #Y^,t,Y
6.2179497e-01 110 1.0000000e+00 #Y^,t,Y
-4.9851833e-01 111 1.0000000e+00 #Y^,t,Y
-4.4951366e-01 112 1.0000000e+00 #Y^,t,Y
-3.0220061e-01 113 1.0000000e+00 #Y^,t,Y
2.9866538e-01 114 1.0000000e+00 #Y^,t,Y
-7.1753977e-02 115 1.0000000e+00 #Y^,t,Y
2.9351917e-01 116 1.0000000e+00 #Y^,t,Y
3.9750808e-01 117 1.0000000e+00 #Y^,t,Y
6.3107808e-01 118 1.0000000e+00 #Y^,t,Y
8.0456265e-01 119 1.0000000e+00 #Y^,t,Y
-6.8010292e-01 120 1.0000000e+00 #Y^,t,Y
3.2216134e-01 121 1.0000000e+00 #Y^,t,Y
-3.6962657e-01 122 1.0000000e+00 #Y^,t,Y
-1.0855851e-01 123 1.0000000e+00 #Y^,t,Y
-4.9038729e-01 124 1.0000000e+00 #Y^,t,Y
-7.1168268e-02 125 1.0000000e+00 #Y^,t,Y
-3.4710394e-01 126 1.0000000e+00 #Y^,t,Y
-5.6264614e-02 127 1.0000000e+00 #Y^,t,Y
6.7018533e-01 128 1.0000000e+00 #Y^,t,Y
5.4263829e-01 129 1.0000000e+00 #Y^,t,Y
-1.8392531e-01 130 1.0000000e+00 #Y^,t,Y
7.0053722e-01 131 1.0000000e+00 #Y^,t,Y
-5.5551358e-01 132 1.0000000e+00 #Y^,t,Y
-7.8505209e-01 133 1.0000000e+00 #Y^,t,Y
1.4347675e-01 134 1.0000000e+00 #Y^,t,Y
5.4150141e-01 135 1.0000000e+00 #Y^,t,Y
-3.5362350e-01 136 1.0000000e+00 #Y^,t,Y
-1.6969354e-01 137 1.0000000e+00 #Y^,t,Y
-8.2656422e-01 138 1.0000000e+00 #Y^,t,Y
9.4322249e-02 139 1.0000000e+00 #Y^,t,Y
6.1158332e-01 140 1.0000000e+00 #Y^,t,Y
-5.2968061e-01 141 1.0000000e+00 #Y^,t,Y
5.5573840e-01 142 1.0000000e+00 #Y^,t,Y
-2.4810056e-02 143 1.0000000e+00 #Y^,t,Y
-2.9025873e-01 144 1.0000000e+00 #Y^,t,Y
-5.3606382e-01 145 1.0000000e+00 #Y^,t,Y
-3.3333333e-01 146 1.0000000e+00 #Y^,t,Y
-2.6169323e-02 147 1.0000000e+00 #Y^,t,Y
8.8805868e-01 148 1.0000000e+00 #Y^,t,Y
-1.9710509e-01 149 1.0000000e+00 #Y^,t,Y
8.5730942e-01 150 1.0000000e+00 #Y^,t,Y
9.0457254e-02 151 1.0000000e+00 #Y^,t,Y
7.5428081e-01 152 1.0000000e+00 #Y^,t,Y
3.2181086e-01 153 1.0000000e+00 #Y^,t,Y
-7.3705335e-03 154 1.0000000e+00 #Y^,t,Y
4.2700792e-01 155 1.0000000e+00 #Y^,t,Y
-3.5785988e-01 156 1.0000000e+00 #Y^,t,Y
-2.1885874e-01 157 1.0000000e+00 #Y^,t,Y
3.4572781e-02 158 1.0000000e+00 #Y^,t,Y
3.9748669e-01 159 1.0000000e+00 #Y^,t,Y
3.6099459e-01 160 1.0000000e+00 #Y^,t,Y
9.9926446e-02 161 1.0000000e+00 #Y^,t,Y
5.3731752e-01 162 1.0000000e+00 #Y^,t,Y
4.2857143e-01 163 1.0000000e+00 #Y^,t,Y
-7.7918152e-01 164 1.0000000e+00 #Y^,t,Y
-1.6392278e-01 165 1.0000000e+00 #Y^,t,Y
-3.3226757e-01 166 1.0000000e+00 #Y^,t,Y
6.6727269e-01 167 1.0000000e+00 #Y^,t,Y
8.1506709e-01 168 1.0000000e+00 #Y^,t,Y
4.4371827e-01 169 1.0000000e+00 #Y^,t,Y
2.9513069e-01 170 1.0000000e+00 #Y^,t,Y
-7.1975225e-01 171 1.0000000e+00 #Y^,t,Y
4.3826697e-01 172 1.0000000e+00 #Y^,t,Y
4.0319234e-01 173 1.0000000e+00 #Y^,t,Y
2.2346952e-02 174 1.0000000e+00 #Y^,t,Y
-4.3029102e-01 175 1.0000000e+00 #Y^,t,Y
2.1755704e-02 176 1.0000000e+00 #Y^,t,Y
-8.1762873e-01 177 1.0000000e+00 #Y^,t,Y
3.4905422e-01 178 1.0000000e+00 #Y^,t,Y
-2.3267973e-01 179 1.0000000e+00 #Y^,t,Y
-6.5696504e-01 180 -1.0000000e+00 #Y^,t,Y
-8.7336302e-01 181 -1.0000000e+00 #Y^,t,Y
-8.4610271e-01 182 -1.0000000e+00 #Y^,t,Y
-9.9616715e-01 183 -1.0000000e+00 #Y^,t,Y
-8.3078267e-01 184 -1.0000000e+00 #Y^,t,Y
-9.5265711e-01 185 -1.0000000e+00 #Y^,t,Y
-2.0687922e-01 186 -1.0000000e+00 #Y^,t,Y
-8.9645247e-01 187 -1.0000000e+00 #Y^,t,Y
-8.8165297e-01 188 -1.0000000e+00 #Y^,t,Y
-8.1266906e-01 189 -1.0000000e+00 #Y^,t,Y
-9.9427204e-01 190 -1.0000000e+00 #Y^,t,Y
-9.4708065e-01 191 -1.0000000e+00 #Y^,t,Y
-9.5109227e-01 192 -1.0000000e+00 #Y^,t,Y
-9.7940039e-01 193 -1.0000000e+00 #Y^,t,Y
-8.5963704e-01 194 -1.0000000e+00 #Y^,t,Y
-6.9420957e-01 195 -1.0000000e+00 #Y^,t,Y
-9.4278723e-01 196 -1.0000000e+00 #Y^,t,Y
-9.5487288e-01 197 -1.0000000e+00 #Y^,t,Y
-9.9721070e-01 198 -1.0000000e+00 #Y^,t,Y
-4.8728048e-01 199 -1.0000000e+00 #Y^,t,Y
-9.7587424e-01 200 -1.0000000e+00 #Y^,t,Y
-8.6827941e-01 201 -1.0000000e+00 #Y^,t,Y
-7.4915832e-01 202 -1.0000000e+00 #Y^,t,Y
-9.0150706e-01 203 -1.0000000e+00 #Y^,t,Y
-6.3015096e-01 204 -1.0000000e+00 #Y^,t,Y
-6.4674814e-01 205 -1.0000000e+00 #Y^,t,Y
-8.5531517e-01 206 -1.0000000e+00 #Y^,t,Y
-7.8838041e-01 207 -1.0000000e+00 #Y^,t,Y
-4.3174983e-01 208 -1.0000000e+00 #Y^,t,Y
-9.5927966e-01 209 -1.0000000e+00 #Y^,t,Y
-6.7003628e-01 210 -1.0000000e+00 #Y^,t,Y
-9.0282904e-01 211 -1.0000000e+00 #Y^,t,Y
-9.8746371e-01 212 -1.0000000e+00 #Y^,t,Y
-9.8940035e-01 213 -1.0000000e+00 #Y^,t,Y
-9.2454656e-01 214 -1.0000000e+00 #Y^,t,Y
-7.9409345e-01 215 -1.0000000e+00 #Y^,t,Y
-1.0000000e+00 216 -1.0000000e+00 #Y^,t,Y
-8.3825200e-01 217 -1.0000000e+00 #Y^,t,Y
-7.8479920e-01 218 -1.0000000e+00 #Y^,t,Y
-9.6609192e-01 219 -1.0000000e+00 #Y^,t,Y
-7.1821724e-01 220 -1.0000000e+00 #Y^,t,Y
-4.6363625e-01 221 -1.0000000e+00 #Y^,t,Y
-9.9460305e-01 222 -1.0000000e+00 #Y^,t,Y
-1.0000000e+00 223 -1.0000000e+00 #Y^,t,Y
-4.9814543e-01 224 -1.0000000e+00 #Y^,t,Y
-9.9846461e-01 225 -1.0000000e+00 #Y^,t,Y
-9.3357316e-01 226 -1.0000000e+00 #Y^,t,Y
-8.7287511e-01 227 -1.0000000e+00 #Y^,t,Y
-6.4176729e-01 228 -1.0000000e+00 #Y^,t,Y
-2.9363243e-01 229 -1.0000000e+00 #Y^,t,Y
-1.7594025e-01 230 -1.0000000e+00 #Y^,t,Y
-7.9001054e-01 231 -1.0000000e+00 #Y^,t,Y
-4.3330307e-01 232 -1.0000000e+00 #Y^,t,Y
-4.0500494e-01 233 -1.0000000e+00 #Y^,t,Y
-9.9860176e-01 234 -1.0000000e+00 #Y^,t,Y
-6.8912898e-01 235 -1.0000000e+00 #Y^,t,Y
-7.3721407e-01 236 -1.0000000e+00 #Y^,t,Y
-8.3296948e-01 237 -1.0000000e+00 #Y^,t,Y
-8.4901313e-01 238 -1.0000000e+00 #Y^,t,Y
-9.8845927e-01 239 -1.0000000e+00 #Y^,t,Y
-8.5850303e-01 240 -1.0000000e+00 #Y^,t,Y
-6.0000000e-01 241 -1.0000000e+00 #Y^,t,Y
-6.1657396e-01 242 -1.0000000e+00 #Y^,t,Y
-1.0000000e+00 243 -1.0000000e+00 #Y^,t,Y
-9.2329500e-01 244 -1.0000000e+00 #Y^,t,Y
-7.4655288e-01 245 -1.0000000e+00 #Y^,t,Y
-9.3194458e-01 246 -1.0000000e+00 #Y^,t,Y
-9.0113323e-01 247 -1.0000000e+00 #Y^,t,Y
-6.7132560e-01 248 -1.0000000e+00 #Y^,t,Y
-6.0824886e-01 249 -1.0000000e+00 #Y^,t,Y
-9.6419999e-01 250 -1.0000000e+00 #Y^,t,Y
-9.8068642e-01 251 -1.0000000e+00 #Y^,t,Y
-7.0658120e-01 252 -1.0000000e+00 #Y^,t,Y
-8.9758490e-01 253 -1.0000000e+00 #Y^,t,Y
-9.4937784e-01 254 -1.0000000e+00 #Y^,t,Y
-5.9255455e-01 255 -1.0000000e+00 #Y^,t,Y
-9.5525996e-01 256 -1.0000000e+00 #Y^,t,Y
-9.4418507e-01 257 -1.0000000e+00 #Y^,t,Y
-2.7375693e-01 258 -1.0000000e+00 #Y^,t,Y
-9.6344010e-01 259 -1.0000000e+00 #Y^,t,Y
-6.2477956e-01 260 -1.0000000e+00 #Y^,t,Y
-7.9665834e-01 261 -1.0000000e+00 #Y^,t,Y
-6.4317604e-01 262 -1.0000000e+00 #Y^,t,Y
-8.7295175e-01 263 -1.0000000e+00 #Y^,t,Y
-7.2154762e-01 264 -1.0000000e+00 #Y^,t,Y
-1.0000000e+00 265 -1.0000000e+00 #Y^,t,Y
-9.7059277e-01 266 -1.0000000e+00 #Y^,t,Y
-9.9132651e-01 267 -1.0000000e+00 #Y^,t,Y
-8.3981015e-01 268 -1.0000000e+00 #Y^,t,Y
-9.9931290e-01 269 -1.0000000e+00 #Y^,t,Y
-9.1976991e-01 270 -1.0000000e+00 #Y^,t,Y
-7.7271398e-01 271 -1.0000000e+00 #Y^,t,Y
-8.9350936e-01 272 -1.0000000e+00 #Y^,t,Y
-5.7785447e-01 273 -1.0000000e+00 #Y^,t,Y
-9.3340052e-01 274 -1.0000000e+00 #Y^,t,Y
-9.4114667e-01 275 -1.0000000e+00 #Y^,t,Y
-8.0152781e-01 276 -1.0000000e+00 #Y^,t,Y
-8.2917368e-01 277 -1.0000000e+00 #Y^,t,Y
-2.0616896e-01 278 -1.0000000e+00 #Y^,t,Y
-5.5757014e-01 279 -1.0000000e+00 #Y^,t,Y
-6.9191650e-01 280 -1.0000000e+00 #Y^,t,Y
-5.1895338e-01 281 -1.0000000e+00 #Y^,t,Y
-9.8077702e-01 282 -1.0000000e+00 #Y^,t,Y
-3.0917796e-01 283 -1.0000000e+00 #Y^,t,Y
-4.1572533e-01 284 -1.0000000e+00 #Y^,t,Y
-8.0091845e-01 285 -1.0000000e+00 #Y^,t,Y
-4.0126503e-01 286 -1.0000000e+00 #Y^,t,Y
-9.7696802e-01 287 -1.0000000e+00 #Y^,t,Y
-6.5130865e-01 288 -1.0000000e+00 #Y^,t,Y
-9.2285320e-01 289 -1.0000000e+00 #Y^,t,Y
-4.3215314e-01 290 -1.0000000e+00 #Y^,t,Y
-9.6770833e-01 291 -1.0000000e+00 #Y^,t,Y
-6.9942872e-01 292 -1.0000000e+00 #Y^,t,Y
-7.5406278e-01 293 -1.0000000e+00 #Y^,t,Y
-9.9448821e-01 294 -1.0000000e+00 #Y^,t,Y
-8.4490100e-01 295 -1.0000000e+00 #Y^,t,Y
-9.0484635e-01 296 -1.0000000e+00 #Y^,t,Y
-3.1349795e-01 297 -1.0000000e+00 #Y^,t,Y
-8.7337646e-01 298 -1.0000000e+00 #Y^,t,Y
-6.8564333e-01 299 -1.0000000e+00 #Y^,t,Y
-3.7231808e-01 300 -1.0000000e+00 #Y^,t,Y
-6.6052587e-01 301 -1.0000000e+00 #Y^,t,Y
-7.3852390e-01 302 -1.0000000e+00 #Y^,t,Y
-9.4318681e-01 303 -1.0000000e+00 #Y^,t,Y
-8.3493045e-01 304 -1.0000000e+00 #Y^,t,Y
-3.9340069e-01 305 -1.0000000e+00 #Y^,t,Y
-6.8843729e-01 306 -1.0000000e+00 #Y^,t,Y
-8.6344692e-01 307 -1.0000000e+00 #Y^,t,Y
-5.4817797e-01 308 -1.0000000e+00 #Y^,t,Y
-5.6196263e-01 309 -1.0000000e+00 #Y^,t,Y
-9.7323279e-01 310 -1.0000000e+00 #Y^,t,Y
-5.0876233e-01 311 -1.0000000e+00 #Y^,t,Y
-8.2478955e-01 312 -1.0000000e+00 #Y^,t,Y
