4.2334880e+03 2.7297900e+03 2.0589090e+03 8.3281730e+02 1.4227300e+03 -2.8917270e+02 -1.1566910e+03 -8.5595110e+02 3.2965690e+03
3.2965690e+03 4.2334880e+03 2.7297900e+03 2.0589090e+03 8.3281730e+02 1.4227300e+03 -2.8917270e+02 -1.1566910e+03 4.6730310e+03
4.6730310e+03 3.2965690e+03 4.2334880e+03 2.7297900e+03 2.0589090e+03 8.3281730e+02 1.4227300e+03 -2.8917270e+02 4.8928020e+03
4.8928020e+03 4.6730310e+03 3.2965690e+03 4.2334880e+03 2.7297900e+03 2.0589090e+03 8.3281730e+02 1.4227300e+03 5.2745100e+03
5.2745100e+03 4.8928020e+03 4.6730310e+03 3.2965690e+03 4.2334880e+03 2.7297900e+03 2.0589090e+03 8.3281730e+02 3.8402130e+03
3.8402130e+03 5.2745100e+03 4.8928020e+03 4.6730310e+03 3.2965690e+03 4.2334880e+03 2.7297900e+03 2.0589090e+03 4.8234000e+03
4.8234000e+03 3.8402130e+03 5.2745100e+03 4.8928020e+03 4.6730310e+03 3.2965690e+03 4.2334880e+03 2.7297900e+03 4.1872200e+03
4.1872200e+03 4.8234000e+03 3.8402130e+03 5.2745100e+03 4.8928020e+03 4.6730310e+03 3.2965690e+03 4.2334880e+03 2.8223250e+03
2.8223250e+03 4.1872200e+03 4.8234000e+03 3.8402130e+03 5.2745100e+03 4.8928020e+03 4.6730310e+03 3.2965690e+03 2.1977120e+03
2.1977120e+03 2.8223250e+03 4.1872200e+03 4.8234000e+03 3.8402130e+03 5.2745100e+03 4.8928020e+03 4.6730310e+03 1.5036980e+03
1.5036980e+03 2.1977120e+03 2.8223250e+03 4.1872200e+03 4.8234000e+03 3.8402130e+03 5.2745100e+03 4.8928020e+03 1.1913910e+03
1.1913910e+03 1.5036980e+03 2.1977120e+03 2.8223250e+03 4.1872200e+03 4.8234000e+03 3.8402130e+03 5.2745100e+03 -1.4921310e+03
-1.4921310e+03 1.1913910e+03 1.5036980e+03 2.1977120e+03 2.8223250e+03 4.1872200e+03 4.8234000e+03 3.8402130e+03 -8.0968350e+02
-8.0968350e+02 -1.4921310e+03 1.1913910e+03 1.5036980e+03 2.1977120e+03 2.8223250e+03 4.1872200e+03 4.8234000e+03 -1.8854060e+03
-1.8854060e+03 -8.0968350e+02 -1.4921310e+03 1.1913910e+03 1.5036980e+03 2.1977120e+03 2.8223250e+03 4.1872200e+03 -2.4174840e+03
-2.4174840e+03 -1.8854060e+03 -8.0968350e+02 -1.4921310e+03 1.1913910e+03 1.5036980e+03 2.1977120e+03 2.8223250e+03 -3.7592450e+03
-3.7592450e+03 -2.4174840e+03 -1.8854060e+03 -8.0968350e+02 -1.4921310e+03 1.1913910e+03 1.5036980e+03 2.1977120e+03 -2.7182230e+03
-2.7182230e+03 -3.7592450e+03 -2.4174840e+03 -1.8854060e+03 -8.0968350e+02 -1.4921310e+03 1.1913910e+03 1.5036980e+03 -3.0536640e+03
-3.0536640e+03 -2.7182230e+03 -3.7592450e+03 -2.4174840e+03 -1.8854060e+03 -8.0968350e+02 -1.4921310e+03 1.1913910e+03 -3.4932060e+03
-3.4932060e+03 -3.0536640e+03 -2.7182230e+03 -3.7592450e+03 -2.4174840e+03 -1.8854060e+03 -8.0968350e+02 -1.4921310e+03 -3.2271670e+03
-3.2271670e+03 -3.4932060e+03 -3.0536640e+03 -2.7182230e+03 -3.7592450e+03 -2.4174840e+03 -1.8854060e+03 -8.0968350e+02 -1.9085400e+03
-1.9085400e+03 -3.2271670e+03 -3.4932060e+03 -3.0536640e+03 -2.7182230e+03 -3.7592450e+03 -2.4174840e+03 -1.8854060e+03 -2.2671140e+03
-2.2671140e+03 -1.9085400e+03 -3.2271670e+03 -3.4932060e+03 -3.0536640e+03 -2.7182230e+03 -3.7592450e+03 -2.4174840e+03 -2.1167440e+03
-2.1167440e+03 -2.2671140e+03 -1.9085400e+03 -3.2271670e+03 -3.4932060e+03 -3.0536640e+03 -2.7182230e+03 -3.7592450e+03 -1.1798250e+03
