-8.020845e+00 -2.521636e+00 +1.221684e+01 +1.470594e+01 -6.861432e-01 -1.410195e+01 -1.696050e+01 +3.167532e+00 +2.150297e+01 +6.065974e+00 -1.632549e+01 -1.466448e+01 +1.155792e+00 +1.462529e+01 +1.254191e+01 -3.524291e+00 -9.559173e+00 -1.938298e+00 +1.717548e+00 -5.999789e-02 +1.925729e+00 
+9.301584e-01 +1.583564e+00 -1.641336e-01 -4.025523e-02 -4.862076e-01 -1.367017e+00 -3.048764e-02 +3.601640e-01 +1.534480e-01 -1.406674e-01 +3.539738e-01 +2.935115e-01 +2.011799e-01 -3.869460e-01 +2.571357e-01 -3.203471e-01 +3.216908e-03 +4.612271e-01 -5.018385e-01 +1.748913e-02 +1.614258e-03 
-6.093796e-01 +7.300237e-01 +2.316026e+00 +1.046321e+00 -7.673374e-01 -2.588170e+00 -1.356298e+00 +8.687026e-01 +1.809569e+00 +2.620147e-01 -6.353814e-01 -9.834642e-01 +1.810202e-01 +4.297023e-01 +6.179471e-01 -3.092362e-01 -7.334874e-02 -3.398523e-01 +6.544778e-02 +4.662269e-02 +1.331325e+01 
-1.206852e+00 +8.080060e-01 +3.546278e+00 +3.248298e+00 -1.044376e+00 -6.097344e+00 -5.740381e+00 +6.508978e-01 +6.553173e+00 +5.825218e+00 +2.062949e-01 -4.396163e+00 -3.919412e+00 -6.204873e-01 +1.828071e+00 +1.563179e+00 +4.454254e-01 -2.940565e-01 -2.943595e-01 -2.322947e-01 +6.360165e+01 
-6.395621e-01 +1.349230e+00 +2.273394e+00 +1.444274e+00 -1.075761e+00 -3.544970e+00 -2.488600e+00 +3.484397e-01 +1.077326e+00 +7.453389e-01 +1.925095e+00 +1.404346e+00 +3.059277e-01 -3.905711e-01 -1.250822e+00 -1.283157e+00 -8.045631e-02 +9.455798e-01 -3.642164e-02 +5.276726e-02 -1.435676e-02 
+3.180596e-01 +1.684955e+00 +8.446257e-01 -1.126287e+00 -2.650080e+00 -1.017726e+00 +3.105620e+00 +3.079128e+00 -1.194858e+00 -2.543759e+00 -1.810201e+00 +1.090206e+00 +1.808778e+00 +2.334605e-01 -1.547802e+00 -8.952675e-02 +9.444785e-01 +6.565403e-01 -1.366535e-01 -8.519842e-01 +3.845814e+02 
-3.735153e-01 +1.014899e+00 +2.088979e+00 +7.160039e-01 -1.831501e+00 -2.836008e+00 -4.297857e-01 +2.510965e+00 +2.124642e+00 -6.090492e-01 -2.484862e+00 -1.296002e+00 +1.436077e+00 +2.103869e+00 +5.675780e-01 -1.085969e+00 -1.214697e+00 -2.924078e-01 +3.853857e-01 +3.987086e-01 -4.792373e+01 
+1.179466e-01 +1.287852e+00 +1.670996e+00 -3.332612e-01 -2.343610e+00 -3.074838e+00 +8.864240e-01 +4.937253e+00 +3.118719e+00 -2.437371e+00 -6.190698e+00 -3.858690e+00 +3.531995e+00 +6.516859e+00 +2.181949e+00 -2.919467e+00 -3.729201e+00 -1.618286e+00 +1.100181e+00 +1.514680e+00 -2.265968e+03 
-2.277833e+00 -3.993434e-02 +5.077870e+00 +6.086037e+00 +8.787300e-01 -5.829081e+00 -1.148966e+01 -5.712538e+00 +6.534542e+00 +1.144601e+01 +6.905326e+00 +3.434746e-01 -8.185486e+00 -8.144085e+00 -7.184792e-01 +2.920414e+00 +3.293318e+00 +2.548192e+00 -8.691874e-01 -1.651805e+00 +1.326340e+03 
-1.015740e+01 +2.909681e+00 +9.437426e+00 +1.608332e+01 +5.458032e+00 -7.070921e+00 -3.207259e+01 -1.452876e+01 +9.985545e+00 +2.535028e+01 +2.033975e+01 -1.828305e+00 -2.133372e+01 -1.296376e+01 +3.672274e+00 +8.402853e+00 +4.752136e+00 -1.448974e+00 -3.244387e+00 +7.195504e-01 -5.736987e+00 
