2.31034136e+00 3.15463829e+00 3.37779284e-01 3.00001264e+00 3.45483273e-01 3.83973432e+00 1.18247676e+00 3.38883829e+00 1.25443053e+00 4.95047426e+00 2.54858327e+00 3.45100546e+00
3.18069005e+00 3.97408104e+00 1.17976630e+00 3.81833243e+00 1.18432486e+00 4.65105247e+00 2.02248359e+00 4.19797277e+00 2.08810997e+00 5.73992825e+00 3.38058662e+00 4.21619606e+00
6.10056067e+00 6.71784353e+00 3.98148298e+00 6.55806112e+00 3.97534537e+00 7.37135839e+00 4.82000589e+00 6.91002703e+00 4.86461782e+00 8.39588165e+00 6.15600967e+00 6.78009462e+00
1.27449350e+01 1.29027891e+01 1.01879501e+01 1.27311201e+01 1.01549988e+01 1.35215282e+01 1.10331011e+01 1.30335417e+01 1.10280590e+01 1.44374952e+01 1.23465300e+01 1.25268955e+01
2.58998775e+01 3.22530708e+01 3.48511581e+01 3.24247780e+01 3.55613823e+01 3.18720055e+01 3.39794998e+01 3.23232422e+01 3.47311401e+01 3.14085102e+01 3.28073387e+01 3.31471481e+01
1.32421036e+01 1.44032249e+01 1.29619617e+01 1.42816744e+01 1.29730053e+01 1.48118315e+01 1.35814190e+01 1.44717293e+01 1.36234398e+01 1.53883791e+01 1.45056782e+01 1.46151962e+01
1.12075253e+01 1.17642756e+01 1.05915976e+01 1.16330366e+01 1.05583773e+01 1.21027288e+01 1.11782026e+01 1.17441101e+01 1.11367502e+01 1.25236769e+01 1.19992180e+01 1.14245634e+01
1.38718605e+01 1.41934795e+01 1.35600576e+01 1.40665092e+01 1.34905224e+01 1.44237404e+01 1.40494871e+01 1.40865126e+01 1.39322958e+01 1.46480036e+01 1.46590805e+01 1.35023975e+01
2.66806469e+01 3.34049568e+01 3.39963036e+01 3.34944115e+01 3.46134758e+01 3.31405258e+01 3.35436783e+01 3.33822937e+01 3.41618004e+01 3.27844620e+01 3.29204788e+01 3.49448967e+01
1.35594425e+01 1.15654202e+01 1.18333855e+01 1.14584093e+01 1.17136812e+01 1.16673222e+01 1.21380253e+01 1.13884258e+01 1.19331369e+01 1.17020502e+01 1.24490347e+01 9.49117088e+00
7.42327929e+00 4.91042519e+00 6.03122950e+00 4.83025885e+00 5.87724495e+00 4.89887810e+00 6.13156223e+00 4.69604874e+00 5.86370707e+00 4.77779293e+00 6.12110233e+00 2.42568183e+00
4.58309555e+00 1.42963564e+00 3.32323813e+00 1.38720071e+00 3.16980696e+00 1.33058155e+00 3.20874739e+00 1.22702074e+00 2.93946648e+00 1.11248851e+00 2.92093682e+00 -1.57916927e+00
3.24004126e+00 -4.94485468e-01 1.96019828e+00 -4.88689274e-01 1.86578453e+00 -6.50707662e-01 1.67918456e+00 -6.31171703e-01 1.49936831e+00 -9.08025026e-01 1.22395408e+00 -4.10051155e+00
2.65063310e+00 -1.41765511e+00 1.16294992e+00 -1.35862708e+00 1.19226682e+00 -1.58546984e+00 8.67583811e-01 -1.42980933e+00 8.80349100e-01 -1.80926979e+00 4.53236848e-01 -5.68139410e+00
2.35107899e+00 -1.67595398e+00 5.30819595e-01 -1.57564688e+00 6.85244441e-01 -1.79308009e+00 4.11210179e-01 -1.52737939e+00 6.46288335e-01 -1.89707339e+00 2.75028825e-01 -6.60960388e+00
