#dt=1.000000e-08 Ndt=2500000 T=0.025 t1=35.2766 n=3527663520LU=2.50025e+10LF
#-8 8 27 0 0 #x,y,z t j
0.8824072786376977464473688115943477374781394079633839345967613641473785111124493e1 0.1375112131081225186387132836544463514510661052975003436189306118277496829052491e2 0.1985712331591492490667307393120850347505763283407375588510268526809368446264051e2 0.275e0 11
0.1007247484566824246230392912896065768663374404921130524426559658820740133887124e2 0.1508108705053186422837090973604957074007322281009618150357015167398043958460758e2 0.2188298314781985371371526004025014740456742197239553388384296094142233841990561e2 0.3e0 12
0.1129472274120082754834094630940787381809758597561602142576812967385763735753345e2 0.1598135264658073168443784361815458340883233176712729865642789324720922657493292e2 0.2450566931774039962617834415250967353220333272257406805405174792872562224325174e2 0.325e0 13
0.1236793268057769242189479278050139005658263518808942564379024967631156621283247e2 0.1616152888859968251527391174336178872750559031231285507632886121987814239696464e2 0.2755457623465708586020426127611542993811704031714624191603793942025636096945719e2 0.3499999999999999999999999999999999999999999999999999999999999999999999999999999e0 14
0.1313766845014890428699979745317790697116103951311077995252646514891154697735237e2 0.1539860344901737078804438659598299924910022165189735452457681083389767222645846e2 0.3068168827916095073460227671886037222031725994481693241902126239419818174023551e2 0.3749999999999999999999999999999999999999999999999999999999999999999999999999999e0 15
0.1345455112225288487684846530387414430274859749181249092140759358833659437649025e2 0.1366425660008923748684215422506114217375962529368065154658974408751600343294056e2 0.334114155095179911837043014747942771050113140514330795320108384391909065954337e2 0.3999999999999999999999999999999999999999999999999999999999999999999999999999999e0 16
0.1322666831633086055742410985035390534920337738957555802321924134127741325453298e2 0.1119883189028323253043571440799283516008099805724046419165034872272326565678563e2 0.3529226951104179236510639035370425132798863830629604654051977438531926483425757e2 0.4249999999999999999999999999999999999999999999999999999999999999999999999999999e0 17
0.1246187632853980903284461049905078912563478006261960462002113727498820206097618e2 0.8448553158156257434585086749631907471774232843993136498447992635611874348589348e1 0.3607701474332631616112146702034407622657458338633891336096689856108311090613268e2 0.4499999999999999999999999999999999999999999999999999999999999999999999999999999e0 18
0.1127161744901216922363476001306972229940317491922942419720255312059884692599205e2 0.588439762668265199192929119164204549681083407236088825196012490421889436951827e1 0.3580371369220195264819318411839836512340882705994021227260399889221181298316197e2 0.4749999999999999999999999999999999999999999999999999999999999999999999999999999e0 19
0.9832012735697257132927268044324585377417582482104515668931895178314123143095222e1 0.3828181846630470432337753834982464956917197402924363923108624415424314993847868e1 0.347247603082809805692736920477764960618123762855164530694543070839189861785506e2 0.4999999999999999999999999999999999999999999999999999999999999999999999999999999e0 20
0.8327152558878290751781145185669356757772373648771623236550887422273868264157521e1 0.2391912521287496765823577670595108196285583624329363889564509132378626274822526e1 0.3315877522295967138991313747048731207850220331299363531931928710936010358194068e2 0.5249999999999999999999999999999999999999999999999999999999999999999999999999999e0 21
0.6905056747737852437501724182014147388648657944621863577109080245591656091608803e1 0.152582758565419636844738400806200737260331812698511972482691773555905049857907e1 0.313738822815956603534771390101578832972494551142984793057576055314786511690418e2 0.5499999999999999999999999999999999999999999999999999999999999999999999999999999e0 22
0.5659695319478861470461675672046518008476766128687621558699035927702933075795206e1 0.1103933353513421936703868450584002513835024406841056089858475567194309379655785e1 0.2954548307508369464435158837935474369794059002708092663252637027552143157686348e2 0.5749999999999999999999999999999999999999999999999999999999999999999999999999999e0 23
0.4634414091670710984231320170593734698758432306179900665926282778753207673750875e1 0.9911381833530568435950317601835246139905902273885662648319976938907603514013844e0 0.27767371843584006702349008851644689439182248030335801018065910254599568694125e2 0.5999999999999999999999999999999999999999999999999999999999999999999999999999999e0 24
0.3835592539631473055417031287764971729735404672461305759890055775759454170613062e1 0.1077119231898667746140312929582620607447275219075057283533339499721449366345781e1 0.2608051565184373919950414268413718276488727842183906071821074610536723041282527e2 0.6249999999999999999999999999999999999999999999999999999999999999999999999999999e0 25
0.3247688705641525140534573332734175834519067973869863584537441830638706563642026e1 0.1285503503177189372054555656344979557862325172625310475052427865193703190510385e1 0.2449830214262761709048735115850488614187844832842240068329621539339248783644658e2 0.6499999999999999999999999999999999999999999999999999999999999999999999999999999e0 26
0.2845370178516075078646590795685557665233782408608326392392482858484020871552834e1 0.1570746047970981720238358530043607949738349202729569548910959333851234287162518e1 0.23022490279686660730228580663192777074569665765643785733125045026622646974878e2 0.6749999999999999999999999999999999999999999999999999999999999999999999999999999e0 27
0.2601709777126979378982981652044297723075317489178206531518789907772766668865644e1 0.1911083816043255174383868582738390209499671234156240022033916009757699411338411e1 0.2165148686511924770606024388539587599747044625125058674066881459797827257886812e2 0.6999999999999999999999999999999999999999999999999999999999999999999999999999999e0 28
0.2492981538919762878524560314709488193374054543859867828902930292303364610576517e1 0.2301631598959122274427425261839188923206052575563144481999193285152273469151095e1 0.2038410734534177164652097639267589883539210138485377795212749733633935486220178e2 0.7249999999999999999999999999999999999999999999999999999999999999999999999999999e0 29
0.2501038025461161432645749157115312933287968695536292748599313651870670732586983e1 0.2749043167308632845919264082144385088479120955425286090784351480588434655153249e1 0.1922126575055269018998272541444344544224903968954166463036442136454299798190793e2 0.7499999999999999999999999999999999999999999999999999999999999999999999999999999e0 30
0.261418287536022359746166087667118294774855921716903412732419543911883508259485e1 0.3267896253378908016241315951096973914541330024834111819989044221106613677232418e1 0.1816703216432199451249163431280329430555220395139674900765188433970386779759396e2 0.7749999999999999999999999999999999999999999999999999999999999999999999999999999e0 31
0.2827217570276788106413492699329143602083750276571706593716285102554816456062195e1 0.3878449414525121913735171653651317567505920647539289776935380905637053531722463e1 0.172298071371112104283365876538625586407667447444789115162578676367112575139365e2 0.7999999999999999999999999999999999999999999999999999999999999999999999999999999e0 32
0.3141088277571120033333105054715381494352032415587683187827779568735718580539954e1 0.460522865812927438393412835557752786352562864989647888882745187878274396754447e1 0.1642401465728020490500992148550557161226044270144009819842897024390650979741606e2 0.8249999999999999999999999999999999999999999999999999999999999999999999999999999e0 33
0.3562331559939708441329725195698683264126330046374204326177816088443896068197458e1 0.5475788184392770974792567352982828959943728547775223410659551751285884235555453e1 0.1577257686144538532134047808578087254402213836013762079109574865694443424564378e2 0.8499999999999999999999999999999999999999999999999999999999999999999999999999999e0 34
0.4102310386013050274410064966577771908237814601551716177368235819716652318995499e1 0.6518811432777081876127867944808145864927137505197587881125331159725822433029718e1 0.1531036045670992805265317744405726558846094802323467933984562658483885629551623e2 0.8749999999999999999999999999999999999999999999999999999999999999999999999999999e0 35
0.4776014314065174733485439531840692878836904108330890708423993921670497858212963e1 0.7760384556028223210040768328412586695993322503806505299424678180081262206463654e1 0.1508861987774282496384152553441343064623186256054718749173179223169204236576965e2 0.8999999999999999999999999999999999999999999999999999999999999999999999999999999e0 36
0.5599932251209711964072000021815566098871846667153063540604159300558620953619119e1 0.9216751014301670358486530719139832186492721577956157136617928330231096527210125e1 0.1517997336240329708298008726211451513298109223747592077360846611496055916177e2 0.9249999999999999999999999999999999999999999999999999999999999999999999999999999e0 37
0.6588171948815564557326323630110347600621100068566796525113472701992934507924655e1 0.108812776467705018445496202420933823289558487348886788295804336345283774564109e2 0.1568224937363293474977576010157431386604429989461680174607583931037039175975165e2 0.9499999999999999999999999999999999999999999999999999999999999999999999999999999e0 38
0.7745657130414035084487168606793273882946715628488948148382829819145343010866344e1 0.1270333481488280184210874462725032546447722466263543152428321307759762692289113e2 0.1671709722645219517780693398289493212399901980408401136394918121661409581098176e2 0.9749999999999999999999999999999999999999999999999999999999999999999999999999999e0 39
0.9057167838929164060753835000693928752433519949001361790642355339583603052301233e1 0.1455894899109949103109118609431369087620203605128120673257571029434065826292762e2 0.1841529394688126031518290489276185112136265569839655674031198536222312380098567e2 0.9999999999999999999999999999999999999999999999999999999999999999999999999999998e0 40
